anchor,positive,hard_negative
Konet S 1000mg/500mg,Allizone SB 1000mg/500mg,Konet 500mg
Ritecef-O 50 Dry,Ximenov 100,Cefi XL 100
Cutiac Forte,Tacgov 1,Cutiact 4
Endobreak 2mg,Rumigest 2mg,Endobloc 5
Ceponate 50mg Dry,AP Cef 200mg,Ceponate 100
Vyogoes 0.3mg,Vogiset 0.2mg,Vyogoes GM
Lamdol MF Oral Suspension Mango,Krimol-MF,Lamdol-SP
Jankey 100mg,Sitalembic 100mg,Jankey M 1000
Rezace 100mg/325mg,Aelonac-MR,Rezacort
Duramol Advanced,Aceto 250mg/5ml,Monticris LC
Wagus IT 20mg/150mg,Rabi Pride 20mg/150mg,Wagus Forte 30mg/40mg
Endonac,Acnac 200mg,Endonorm EV 2
Cefex 100mg,Cefi 50mg,Cefex 1000mg
Cefdrate Dry,Fixivin 200mg,Cefzest OX 200mg/200mg
Alceclo-MR,Acloden P 100mg/325mg,Jacmod 100mg/37.5mg
Siloxon 1gm,Mahacef 250mg,Siloxon 250 TZ
L Pill Kit 200 mg/200 mcg,Gestapro,Safeguard-SR
Vomiqub Oral,Kiaon 4mg,Rabopep O
Tenstar 20mg,Tagon 20,Zita-D 5
Metacef 1000mg,Cefdex 1000mg,Metacon
Influ,Sogrest-DX Syrup Mix Fruit Sugar Free,Influvac 2015/2016 Vaccine
Gatimore 50mg,Tefloc 200,Gatimac 400mg
Hadcef 250mg,Siacef 1gm,Hadcef-S
Lekadol 1000mg,Somoa 250,Speen
Fixi 1000mg,Cencef 250mg,Cefirone V 1000 mg/500 mg
Nugesia AC 100mg/325mg,Emonac P 100mg/325mg,Nugesia 100mg/500mg
Flamingo S 50mg/10mg,Codiclo S 50mg/10mg,Jusgo Pan 75 mg/40 mg
Acedol 200mg,Ciclogen 200mg,Peale
Brutacef-DS Dry Syrup Pineapple,Fotaz-O Dry,CEFIFURT XL 200 MG/500 MG
Vogi MD 0.3mg,Vitavog 0.2,Vogli-Rapid 0.3/1.0
Yuvicef 200,Minifix 200,Yuvicef 100mg Dry
Cefaq 100mg,Ziprax 50mg Dry,Cefa Q 200mg
Acekyor-P,Axinac P 100mg/325mg,Acekyor-D 80mg/100mg
Apnaid-SP,Acelofan-MR,Unflem 325 mg/4 mg
Zafil 200mg,Cemed 200mg,Zafil O
Septacel S 1000mg/500mg,Agex SL 500mg/250mg,Septaflam
Zeph 200mg,Fixnis 50mg Dry,Alencef SL 200mg/125mg
Pandol 125mg,Cadipar 650mg,Pandol 40mg
Svenixime 100mg,Xonix 100mg,CEFIFURT XL 200 MG/500 MG
Sapnim 100mg,Mlid 100mg,Sapnim Plus 100mg/500mg
Elce 100mg,Fixo 100,Elce 5mg
Nunac SP,A2P 100mg/500mg,Nunac 0.09%
Fenka P 100mg/500mg,Fernace P,Fenkast 10mg/120mg
Magnapime TZ 1000mg/125mg,Fimcef T 1000mg/125mg,Magnakof-LS
Soldase Plus 100mg/325mg,Blanim S,Soldase 100000AU
Vatican's Trick 250,PARAFIZZ 650 MG,Vatican's Trick-P
Receft,Cefous 1gm,Recefix AZ 200mg/250mg
Afzone S 500mg/250mg,Aeltax SB 1000mg/500mg,Afzone 125mg
Hifi 1000mg,Cefman 1000mg,Hifi 100mg
Asifast 100mg,Act 100mg,Asifast-P
Volent P,Zaminol P 100mg/325mg,Tespen P 50mg/325mg
SB Mox-L,Moxiled 500mg,SB Moxi L
Cefzest 100mg,Enzacef Dry,Cefzen 125mg
Urinif 100mg,Nitrofuse 100,Urinin O 200mg/200mg
Aelxim-M 400mg/400mg,Moxinow,Aelxim-AZ 100
Rocknim-MD,NSD 100mg,Rocknim Spas 10mg/100mg
Wytax 200mg,V Cefix 200,Wytax 500mg
Nipin 100mg,Tylen 200mg,Nipin Plus 100mg/500mg
Prozotil 5mg,Resvom-MD,Prozoten 5mg
Mkcef 50mg Dry,Okafexime DS 100mg Dry,Sefnix 100 LB
Mefiscope DS 100mg/250mg,Ticspas Dry,Mefispas 10mg/250mg
Trifenac-S 50mg/10mg,Sioflox OZ 50mg/10mg,Trifect
Acito P 100mg/500mg,Nenac SP,Idicin P 25 mg/500 mg
Accunac-SP,Evaflam-TP,Accunac-TH
Topcid 20,Famocid 20,Topcin 200mg
Drycef 200mg,Cefivec 50 Dry,Drycef 1000mg
Safeflam-SR,Amfenac 200mg,Taxidol 100mg/37.5mg
Noloss ET 250mg/250mg,Ethatol 250 mg/250 mg,Trance 500mg
N Cef 1000mg,Ziptron 1000mg,N Cef 200mg
Elfenac Plus 100 mg/500 mg,Itrogesic-P,Elfen 75mg
Flanzen D,Pept-D,Flanzole 200mg
Ralocral-O,Asicryl 1000 mg/20 mg,Ralocium 60mg
Tenzulix,Teniscan 20,Tenzulix M 500
Vizceft-SB 1500,Ceftron SB 1000 mg/500 mg,Exime-SB 1500mg/750mg
Chillpol 250mg,Paraglan 650mg,Chillpol IB
Zoxton-S 375,Avcef S 250mg/125mg,Zoxton 500
Serawell-D 50mg/10mg,Mardase-K 50mg/10mg,Myomax-D
Acticef SB 1000mg/500mg,Bencef-SB 375,Acticort 10mg
Hydride 12.5,Hydronol 25,Rasilez Hct 300 mg/12.5 mg
JETEX 100MG,Winer 200mg,JETEX CV 325MG
Optase-D 50mg/10mg,Seravir D 50 mg/10 mg,Optase NH 100mg/10mg
Daze 50mg/10mg,Sero D 50mg/10mg,Daze 10mg
Okafexime DS 100mg Dry,Lifix 100mg,Hifen Lxx
Fine AP 100mg/325mg,Acemed P 100mg/325mg,Fineact
Semdays 50mg/10mg,Nidanzic,Skyda 50mg/50mg Soft Gelatin
Kasjel DS,Theocof DX,Kasjel CP
Ondenset 8mg,Onam 4mg,Rabnor O 4mg/20mg
Tumin P 250mg/325mg,Mrka P 500mg/325mg,Tumin C 10mg/250mg
Cebact 250mg/125mg,Orixone S 250mg/125mg,Cebact 500 mg/500 mg
Codorex DX,Dexycof,Codoric 4 mg/10 mg
Shoncef 1000mg,Indocef 250mg,Taxon-S 375
Winfix Dry,Sifix 100,Cefo LX 200mg/500mg
Slace P 100mg/325mg,Salnac P 100mg/500mg,Coldover-P Oral Suspension Orange
Afesan 100mg,Monceclo 200mg,Afesan-CZ
Infura 100mg,Utiact 100mg,Infurox 250
Ondiman 2mg,ON Sure 2mg Oral,Ondelux P 40mg/4mg
Aptonac-SP,Assert-P,Stalpol-ET 400mg/325mg
Uziq 1gm,Ruxone 250,Elores 3000mg
Hadcef 1000mg,E Zon 1000mg,Hadcef T 1000mg/125mg
Alcef 250mg,Santrax 1000mg,Alcef 100mg
Nimeside 100mg,Nimuspa 100mg,Antica 20 mg/100 mg
Acetam 650mg,Macfast 125,Acetam 100mg
Fevotran 500mg,Pizicef 1000mg,Morxone TZ 250mg/31.25mg
Ng Xone 250mg,Ceftril 1gm,Ng Xone S 1000mg/500mg
Loremdolo 250mg,Paraband 75mg,Loremcef 250mg
Achetiva-SP,Olinac P 100mg/325mg,Achetiva
HH Linctus Cough,Joecold D Plus,Ridcoff
Daxipar 650,Parasafe 650mg,Daxipam 0.5
Kosecef 100mg,Reflaxim 50mg Dry,Koseclav Dry
Orzit S 1000mg/500mg,Aecef S 1000mg/500mg,Orzithro 250
Ifnopime TZ 250mg/31.25mg,Tazopime 1000 mg/125 mg,Ifnopime 1gm
Rylofenac-SP,Cruxol A 100mg/325mg,Rylofenac TH 100mg/4mg
Bisolvon,Mucospel,Burex BR
Arispod 1000,R Xone 500mg,Arispod 200 DT
Shimocef 500mg,Fixcott 100mg,Shimox-CL Dry
Locoflam MR,Depnac-MR,Afast-MR
Nopel-Forte,Meftune P,Nopel Spas 10mg/250mg
Jycef 200mg,Siffy 100mg,Jycef O 200mg/200mg
Teliptor,Tenoxy 20mg,Teliprolol 40mg/25mg
Dinum AP,Aceclogesic Plus 100mg/500mg,Dinum-TH 4
Kyopod-L 200mg/250mg,Spinxo LV 200mg/250mg,Kyopod 200mg/125mg
Radimol 150mg,Dtmol 125mg,Radimentin 500 mg/125 mg
Zetox 250mg,Zoxton 500,Ceficheck-S
Kidon 8mg,Prospect 2mg/5ml,Myset Plus
Cefrose-S 1000mg/500mg,Conceft S 1000mg/500mg,Marzon SB 2000mg
Mancef S 1000mg/500mg,Trionix SB 250mg/125mg,Mancet 5
Topase P 100mg/500mg,Myokraft SP,Topastin 10mg
Ceftasar 1000mg,Arixon 1000mg,GT Cef 500mg/250mg
Godimol-MF,Zekmef-DS Oral Suspension Mango,Acelife Plus 500 mg/15 mg
Cefton 250mg,Ceftriman 250mg,Cefirone V 1000 mg/500 mg
Acidale-CZ,Acnac P 100mg/325mg,Relaxone Plus
Anaflox H,Dto 200 mg/600 mg,Anaflam Xps
Brazo-IT 20mg/150mg,Zabee IT 20mg/150mg,Brazol DSR 30mg/20mg
Cefdac 100mg,Avriell Dry,Monarquin Plus
Niricef 100mg,Axim 200mg,Niricef-O
Amidase D 50mg/10mg,Famoov S 50mg/10mg,Amidax 500
Uttercare,Primogest 2mg,Cestel 30
Dense 4mg,Garadom 4mg,Omros O 4mg/20mg
Calmgesic T,Atik-MR,Calmgut 10mg/20mg
SMS 250mg,Jaycef 500mg,Axitrix V 1000mg/500mg
Rabsar-IT,Rabigo-IT,Amalzol-IT
Adpep D,Healdase 50mg/10mg,Adpep 10mg
Legli 0.2mg,Vogbetic 0.3 MD,Leglic MF 80mg/500mg
Flacid O,Cogene OS,Flacid MPS
Oraglip 20mg,Tenecare 20mg,Tenipack M
Fevotrac-Plus,Migpar 250mg,Fevotran S 250mg/125mg
Acrotex 50mg,Btcef 50mg,Acrotac 25mg
Dipkem S 50mg/10mg,Serromac D 50mg/10mg,Aviflox ST 200mg/15mg
Forcold Plus,Elfast DS,Forcof D
Acenaac MR,Doloby Plus 100mg/500mg,Talmin D 250 mg/350 mg
Rebostride-SR,R B Kool-IT 20mg/150mg,Rebose 50mg
Difarnac-MR,Forte-MR,Difarnac 75mg
Nitocef 100mg,Kindcif,Nitocef 1000mg
Gatmol 250mg,Asef 650mg,Incold
Cefaclass SB 1000mg/500mg,Acutrax S 1000mg/500mg,CEFACURE 250 MG
Celovan 1gm,Vancoshot 500mg,Celovera 2.5mg/ml
Triao 250mg,Olizon 2000mg,Triao SB 250mg/125mg
Cormax 650mg,Lekadol 650mg,Sinarest LP
Fenadol-MR,Blenac-MR,Idicin P 25 mg/500 mg
Zexflam P,Clof-SP,Zexflam T 100mg/4mg
Orden,Nisley,Ordent
Medoxone 1gm,NG Cef 1000mg,Medoxi CV
Hifen 400,Fixer 50mg Dry,Hifen 250mg
Vrift 500mg,Traxar 1000mg,Vrift S 1000mg/500mg
Voglesim 0.3mg,Coravog 0.2mg,Voglejen ZM 500mg/0.3mg
Zecoryl Plus,Sneezee P,FORACET 500MG/15MG
Zeldinac-MR,Diclozone,Zeldinac 100
Biofixon 200mg,Fiximo 200mg,Biofil-AB Particles
Noril-P,Dapramol-M,Flupinorm P 100mg/325mg
Maxtra P Oral,Blast-O Kold,Tapcynta Plus 50mg/325mg
Scotfix 50 Dry,Xiotac 200mg,CEFOCEF XL
Nasoclear Cold Oral Drops Delicious Cherry,Unicold,Nasocom
Xefry SB 1000mg/500mg,Orzit S 1000mg/500mg,Xefry 250mg
Robby ITR 20mg/150mg,Rabob-IT 20mg/150mg,Robby Plus 75mg/20mg
Venmol 250mg,Day,Venmoxyn 125mg
GT-Cef 50mg Dry,Kexi Dry,GT-Cef-SB 1.5gm
Agicef S 1000mg/500mg,Zerox-SM 250mg/125mg,Agicef 200mg
Kritfen P,Acebute P 100mg/325mg,Trigan MF
Diclohil A 100 mg/500 mg,Deltanac-SP,Diclon MR
Monobact 250 mg/125 mg,Ceftrocis 1000mg/500mg,Monobrite XL 500mg
Efoxim 100mg,Cefpan 200mg,Efoxim O 200 mg/200 mg
Ceftoqub 1gm,Xari 500mg,Elores 2000mg
Alde Plus,Reonac P 100mg/325mg,T-Cool 250mg
Voglian 0.3mg,Volibo 0.2,Cadvog M 500mg/0.2mg
Locoflam MR,Stenac-MR,Locoflam SP
Ketogee-DT,Doloket LS,Ketogold Medicated
Nusaid SP,Fenela-MR,Nusaid 100mg
Ksin T 200mg,Swizime Kid 125mg,Cefvery AZ LB 200mg/250mg
Anupar M DS,Mefken DS,Myset Plus
Betagesic 125mg,Welpar 1000mg,Betagesic 75mg
Ziotric 250mg,Axocef 250mg,Ziotran-MF
Myset R 4mg/150mg,Anset R,Myset-O
Cemelo 2mg Oral,Emmevoiz 2mg Oral,Ceme-LB
G Fate O,Acicot O,Coatz-AF
Onpride 2mg Oral,Disetron 8mg,Onpride 50
Acicot O,Vcool Plus,Acicold
Emmevoiz 2mg,Rgnil 4mg,Ondem P 4mg/500mg
Zypcid SO,Sucraton O,Zypcid
Healomek AP,Metfenac-P,Healodress
Cefclik 50mg Dry,Kryptofix 50mg Dry,Cefclik CV 200mg/125mg
Zevacid OS,Nucool O,Sucrael 1000mg
Axone 500mg,Doxone 1000,Efficacio-T 250mg/31.25mg
Elsartan H 50mg/12.5mg,Lsp Plus 50mg/12.5mg,Adpace 4 mg/50 mg
Zumlobet-NM,Recon GM,Zincort-S
Encol,Kuffex-Plus Oral Suspension Delicious Mango,Mobiphan 50mg/325mg
Texcold-DS,X Cold Plus,Texcolin-P
Ramxone 1000mg/500mg,Ultracef-S 1gm/0.5gm,Ramxone 1000mg
Seroace-P,Chymoheal,Aesmin S 100mg/15mg
Ximsac 100mg,Ceftansh 200,Ximsac-CL 200mg/125mg
Vaycef 1.5,Curicef-S 1.5gm,Vaycef 500
Venixone SB 1000mg/500mg,Necef S 1000mg/500mg,Venixone 1000mg
Zedex,Tusq-D Cough Lozenges Orange,Zedex Plus Cough
Tenim 100mg,Redynise 100mg,Tenimet 0.5gm
Kofaris DX,Alikuf,Kofaris L
Lixomol 650mg,Symol 650mg,Lixomol M
Neofen Plus,Redugesic SP,Neofex LB 200mg
Sioxon 250mg,Safecare 500mg,Sioxon-S 1gm/0.5gm
Ralicold,Nasycold Plus,Ralicrose
Vavix 50mg Dry,Texacef 50mg Dry,Vavix OF 200mg/200mg
Flamacet 100mg,Novoflam 200mg,Eprenac 150mg/200mg
Kyocef-SB 500mg/250mg,Cefflo S 250mg/125mg,Kyocef-SB 200mg/150mg
Cottflam-MR,Nacflam-MR,Fenlong
Ofla TZ,Tabomax 200mg/600mg,Oflatoon MZ
Lenocarb Plus 1000mg/20mg,Delacid,Povisun-M
Sucfab-O,Difate O,Sucfate
Zunix 200mg,Fixiriv 50mg,Zunix OZ 200mg/500mg
Voglidac 0.3,Vigibose 0.3mg,Vobit R 1mg/0.2mg
Nurotil 5mg,Vomirap,Nuroton Gold 2500mcg
Prandial 0.3 MD,Vobis 0.2mg,Voglipack M 500mg/0.2mg
Aceker M,Mefdose P,Aceker Dsp
Calano 1000,Odiwac 500mg,Calano 200mg
Futri 500mg,Ceftrozy 1000,XL V 1000 mg/500 mg
Yevozen DS 100mg Dry,Mickcef 50mg,Fixsal 200mg/150mg
Toroset 2mg/5ml,Emimark 2mg,Torosafe O Kid 100mg/100mg
Nimlin MD 100mg,Nimelore 100mg,Nimlin P 100mg/325mg
Aclogem 200mg,Ansac 200mg,Aclog-SP
Hifi 50mg,Kex 50mg Dry,Hifi 1000mg
Ziodic DS 50mg/10mg,Daknos S 50mg/10mg,Ziodic 25mg
Ventorlin Expectorant,Asthasol Expectorant,Bronil Plus Expectorant
Ramitip-MT 50mg/5mg,Bploc R 50mg/5mg,Ramitel AM 40mg/5mg
Nelnac 200mg,Avir 100mg,Nelnac P
Acerik 100mg,Achnil,Aceriv-SP
Rebolin-IT,Adirab IT 20mg/150mg,Qizace-RD
Loremdolo 150mg,Racmol 650,Loremcef 500mg
Vogliauk 0.2mg,Venuvi 0.3mg,Volimet 500mg/0.2mg
Fine 150mg Oral,Gatmol 250mg,Fine 1
Ceftril 250mg,Cefezone 1gm,XL V 2000 mg/1000 mg
Celfi 100mg,Glocef 100mg,Celfie 500mg
Cedon I 1000mg,Warine 500mg,Cedon P
Caremol M,Mifine Forte,Caremik 250mg
Starmol 500mg,Aceto 500mg,Konocet Plus
Mosartan H,Lanxes H 50 mg/12.5 mg,Mosart 5mg
Albiflam TC 100mg/325mg,Aceknob-SP,Albifen 200mg
Acimol 500mg,Fevridol 1000mg,Acimol 200mg
Timolet,Timtal,Azarga
Entimate,Enteca 1,Entimin 4mg/10mg
Spazime 200mg,Cefox 100mg,Spazin D 10mg/60mg
Zicfi Dry,Safex DS,Afix SB 200mg/150mg
Tenekind 20mg,Tenameh 20mg,Tensorin M 500mg/20mg
Samzone 1000mg,Alitax 500mg,Elores 3000mg
Sinpar 250,Fevridol 1000mg,Sinpan D 30mg/40mg
Everflam-MR,Diclotal-MR,Everflam-S
Setnox 4mg,Ondomed 4mg,Ondem P 4mg/500mg
Zenimol Forte 250mg,Abmol 250mg,Zenimox-CV
Nimeson 100mg,Ionim 100mg,Nimeset P 100mg/325mg
Celodol-SP,Pyrinac AP 100mg/325mg,Celodol-TH
DP Cef 100mg,Castrov 50mg Dry,DP Cef O 200 mg/200 mg
Nide 200mg,Nim 100mg,Nide 4mg
Daze-AP,Acepar 100mg/325mg,DA Zeagra
Kridase,Aslera-D 50mg/10mg,Kridase-AQ
Nacdol P 100mg/325mg,Nactamol Oral Suspension Orange,Nacdol 50mg
Sovicef 200mg,Fixx 50mg Dry,Soviceft-S 1gm/0.5gm
Paraglan 1000mg,Opimol 650,EXPERGESIC 500MG/15MG
Symfix 50mg Dry,Docef 200mg,Symfine 180mg
Fastaid,Sanpodin,Fastac Triple Action
Nilup 50mg,Nimsel 100mg,Nilup P 100 mg/500 mg
Spatrix SB 250mg/125mg,Triax S 1000mg/500mg,Spatrix 250mg
Vomi EZ 4mg,Vomblis,Rabeq-OD
Europime T 1000mg/125mg,Calpime-T,Europen 1000mg
Liliace P 100mg/325mg,Acegli P 100mg/325mg,Reactive 650mg/250mg
Cefnus 250mg/125mg,Liftaz 500mg/250mg,Cefnu 500mg
Gramfix 100mg,Cefimak 50mg,Gramfu 250mg
Trusten 250mg,Bronzacef 1000mg,Trusten O 200mg
Hytrek S 1000mg/500mg,Taricef-SB 1500,Hytret-M
Naclomol MR,Dipclo-MR,Naclo 100mg Capsule TR
Riclofenac P,Wyace-SP,Riclofen
Acebloc 100mg,Carnil-AC 100mg,Acebloc P 100 mg/500 mg
Fepnac-P,Tem K@re,Pam TH 500mg/4mg
Cefivex 1000mg,Arixon 500mg,Elores 3000mg
Mefbull 50mg/125mg,Molvon M Duo,Serapet P 500mg/10mg
Lifix Dry,Aricef O 50mg/5ml Dry,Lifix-O
Povimax M,Odivine M,Povimed Plus
Citizone SL 500mg/250mg,Avertrox S 1000mg/500mg,Citiz
Arrestin SP,Acenaac-SP,Arrestin 200mg
Nimtech 100mg,Nimumac 50mg,Tufnim MR 200mg/2mg
Volvefix Turbo,Lizolid Plus,Volveclav-DS Dry Syrup Orange
Bofloden T 200mg/600mg,Upton CT 200mg/600mg,Bofloden 400mg
Sundoxim 2000mg,Supercef 2gm,Sundoxim Fix 200mg
Tiruzicold-P,Cantocold Syrup Strawberry,Tiruzipan-DSR
Ofyzone 250,Orsocef 500,Epixone-TZ 250mg/31.25mg
Maxclopar 100mg/325mg,Aceclife-P,Maxclav 200mg/28.5mg
Florac 250mg,Fivotop 500,Flora L OD
Traxol 250mg,Boonxon 1000mg,Xplocef 2000 mg/1000 mg
Bacifer 100mg,Efoxim 50mg,Bacifer CV 200mg/125mg
Azacin-LB 500,Azistar LB 500mg,Nuforce 3
Pacimol 650,Parasyp 125,Pacimox-CV 625
Altracef 100mg,Indcef 50mg Dry,Altracirol
Azeclo,Thioval 4,Espidase P 325mg/10mg
Avoflam-S,Zenase-D,Avoflox-OZ
Cefan 200mg,Clocef 50mg Dry,Cefanz AZ 200mg/200mg
Nimsco 100mg,Nimgreen 100mg,Elonim Cold
Rohzon 1000mg,Xonmed 1000,Rohzon S 1000mg/500mg
Linicef Dry,Effie 100mg,Linicef OZ 200mg/500mg
Tenlistar 20mg,Juleptin 20mg,Tenliday M 500mg/20mg
Nimozip 100mg,Nimtec 100mg,Nimozor P 100mg/325mg
Hocef 500mg,Nexcef 125mg,Monobrite S 250mg/125mg
Danavish Teneligliptin 20mg,Tenistart 20mg,Danavish Atorvastatin 40mg
Samzone S 1000mg/500mg,Bioceftrix-S 1.5,Samzone 1000mg
Sytrax 250mg/250mg,Etaxmin 250mg/250mg,Sytrazo 100mg
Bestoflox TZ,Nicoflox TZ,Bestor 20
Forgel SO,SM-Cool O,Forgesic MR
Medseff 200mg,Ecoxim 50mg Dry,Medsetron
Livzone 250mg,Axolap 250mg,Livzone 5mg
Xonix 200mg,Ximek 100mg,Xonix-O
Scorfix 100mg,Altax-O 200,Scorfix LB 200mg
Nicef 200mg,CADIXIM 200 MG,Nicef O 200mg/200mg
Efexim 100mg,Sundoxim Fix 50mg Dry,Taxone L 200 mg/600 mg
Tenedix,Tongliptin 20mg,Zita-D
Verizone S 1000mg/500mg,Overxon S 250mg/125mg,Verizet 5mg
Tetox-SB 1.5,Orsocef-S 1.5gm,Tetox 500
Phagocef 50mg Dry,Vecif,Phagotrip
Nyfen-P,Mefscot P DS,PA 500mg
Cefkia SB 1000mg/500mg,Bestriaxon-S 1.5gm,Cefkim 100mg
Dalxon 500mg,Vinzovin 250,Xari S 1000mg/500mg
Terflox TZ 200mg/600mg,Tini OF 200 mg/600 mg,Terflox 200mg
Zicfix 50 Dry,Sofoxin 50mg Dry,Zicfi 500mg
Galirex Junior,Zedex-SF Dry Cough Syrup Sugar Free,DMR 10mg
Vomigrik-MD,Hadon-MD4,Satron Plus 2 mg/125 mg
Scot D 50mg/10mg,Inflasri D 50mg/15mg,Scotdox 200mg
Cesafe SM 250 mg/125 mg,Powercef S 375,Trexone 500mg
Jakold,Tricold Plus,Ethicoxia P 60mg/325mg
Cefamid 1000mg,Tromacef 125mg,Cefam 750mg
Nicoflox TZ,Floxole TZ 200mg/600mg,Nicoflox 0.3% Eye/
Cronomol Junior 125mg,Apmol 650mg,Tap Duo
Opizith 500mg,Syzit 500 LB,Zithium O
Wizact-S,Sardip S 50mg/10mg,Wizact AQ 75mg
Telcef 1000mg,Yourflox 250mg,Vanco Plus 1000 mg/500 mg
Crezone 500,Kiaxone 500mg,Crezone-TZ 1.125
Femix 200mg,Avixime 100mg,Femix-O Kid
KETOSCAN 10MG,Ketofon,Ketosa
Rinostat,Coget,Rinose
Asifen 200mg,Aceclo,Asifen 100mg/500mg
Vaycef 200mg,Tricef 200mg,Vaycef 375
Agward 200mg,Cefitrue 200mg,Agward 200 LB
Nasyle,Aece,Lornoviz-P
Trytil 25mg,Chlopro 100mg,Trytin Plus 50mg/325mg
Ngcet 1000mg,Orceft 500mg,Simtaz 1000mg/250mg
Quikace-P,Acip-MR,Vectra P 10mg/500mg
Endobye,Dinor,Endobloc T Combipack
Ceficheck 500mg,Delxone 250mg,Cefics 100 DT
Encef SB 250mg/125mg,Minotrox S 1000mg/500mg,Encef 1gm
Zefix 200mg,Uficef 100mg,Zefixone S
Ionocef 100mg Dry,Fotaz-O 50mg,Ionocef 1000mg
Doly A,Acmas-SP,Drotin Plus
Aciclon-P,Anatrol Forte,Acicloflex 100mg
Formic O 50mg,Qucef 200mg,Formic O 100mg/40Million spores
Trycef 250mg,Ceftolex 1000mg,Trycef 100mg
Zoxicef 50mg Dry,Yiloxime 50mg Dry,Zoxicam 20mg
Kloryl M,Wokderm +,Kloryl
Axonit S 1000mg/500mg,Xonbrex-S,Axonic
Deczone-S 500mg/250mg,Kxone-SL 1gm/0.5gm,Deczone 250mg
Ondom 4mg,Reenond D 2mg Oral,Sanron 4mg/150mg
Mefon Forte 500mg/325mg,Skylide DS,Mefon-Spas
Nitofix 200 DT,G Xime 200mg,Ximclav 50 mg
Acecot Plus 100mg/325mg,Sananac-SP,Nypa
Mobizox LD,Myospaz,MOBIZOX 250 MG/50 MG/325 MG
Fayon 4mg,Vomiver 2mg,Fayonate 80mg/480mg
Trihit 1000mg,Rutocef 500mg,Trihit S 250mg/125mg
Zonda 4mg,Emino,Zondal 400mg
Detron 4mg,Emivin 2mg Oral,Detroin 20mg
Clownox-P,Acu Plus 100mg/325mg,Dovy P
Sucrev O,Senfate O,Sucrec
Tryhigh Plus 100mg/325mg,Dinal-AP 100mg/500mg,Tryhigh BR
Mcef 100mg,Cefizan 100mg,Mcef 1000mg
Avokold DS,Colprex Syrup Strawberry,Avokold N
Elldrot-DS,Centamol Plus,Meftal-MR
Ketolas 30mg,Zetodac 10mg,Ketolak
Cepoyon SB 1000mg/500mg,Afzone S,Cepoyon CV 200mg/125mg
Tagnor S 1000mg/500mg,Sarbcef S 250mg/125mg,Tagnor 1000mg
Xymol 250mg,Pyrorem 1000mg,Xymol 40mg
Fluticort F 250,Rudiair FF 250 Oxycap,Flutivate
Coldbip,ANACOLD,Nuprin Plus
Tenginow,Efiglin,Tengimed M 500mg/20mg
Amox LB,Moxyplus 500mg,Amoxlav 1000mg/200mg
Migace P 100mg/325mg,Aceclosafe Plus 100mg/325mg,Migace 200mg
Arthetrip Plus,Grenac P 100mg/500mg,Arthex Aqua 75mg
Lamikon OD 200mg,Lametec 50 OD,LA Mika 100mg
Adocef 2gm,Celfie 500mg,Adocep 100mg
Ciaxone 500mg,Bill Cef 1000mg,Ciaxone T 1000mg/125mg
Cefra 1000mg,Skycef 250mg,Cefrax 100mg/5ml Dry
Cefpra S 250 mg/125 mg,Traxocef-S 1gm/0.5gm,Inpime 1000mg/500mg
Cadcef 250mg,Salbaxone 1gm,Cadcef 200mg
Xtnac-SP,Vovinac AP,Xtnac-AQ
Renace H 50 mg/12.5 mg,Zozopolo-H 50mg/12.5mg,Renace 50mg
Iblaceff XL 1000mg/500mg,Taricef SB 250mg/125mg,Iblacin 100mg
Zifcef 50mg Dry,Fixtrim 200mg,Zifcef 200 LB
Mafixim 100mg,Belfix 200mg,Mafixim OF 200mg/200mg
Abrotus DX Junior,Tux D,Abrotus-GM
Tenywin 20mg,Priglip 20mg,Tenywin M 500mg/20mg
Sandon 4 DT,Emstal OD,Sandox 50mg
Lorit 10mg,Algyfree 5mg,Lorita-P
Joydol-SP,Acecloflam P,Spasm Relieve 20mg/500mg
Ramyglyn 20mg,Tenyl 20,Ramyglyn M 500mg/20mg
Trexostar E 500mg/250mg,Fibran Plus 250 mg/250 mg,Trexova 1g
B Tax 100mg,Czim 50mg,Mahacef-CV 100 mg/62.5 mg
Clofen 100mg,Fenobax 100mg,Clofen 50mg
Sujon SB 1000mg/500mg,Cefectra S 500mg/250mg,Sujon 1000mg
Acufix 50mg,Altracef 200mg,Jyofex-AZ 200mg/250mg
Enalapril + Hydrochlorothiazide,Enace D 10,Nebi-H
Naxim 50mg,Cefmann 100mg,Naxim CV Dry
Daknos S 50mg/10mg,Spaser D 50mg/10mg,Daknos P 50mg/325mg
Immutac 0.03%,Prograf 0.5mg,Immutil-S 360
Antimol 500,Acogesic 650,Antimyco 100mg
Acimax SP,Perigesic,Relaxone Plus
Mobizox LD,Medspaz 500mg/250mg,Fencin MR
Cefpac S 250mg/125mg,Xari S 500mg/250mg,Cefpara-S 1500
Medinase-P,Asan SP,Fortagesic
Pancef-O 100 Dry Syrup Pineapple,Cefy O 50mg,Pancel D 30mg/40mg
Hubec-SP,Acesol Plus,Hubec 200mg
Entavir 1mg,Baraclude,Entavis 40mg
Fimial 100mg,Audicef 50mg Dry,Fimial-OZ
Nimegesic Oral 50mg,Supernim,Nimegesic P
Tritum 1.5,Monotax SB 500 mg/250 mg,Tritum 500mg
Geometil 5mg,Prometil -MD,Geomez
Bdxime 100mg,Urcef 200mg,Cefi L 400 mg/500 mg
